token,feature_index,count_0,count_1,freq_0,freq_1,log_odds_ratio,variance,z_score
<pronoun> but,1115,755,503,4.4086198503159695e-05,0.00011967807312116132,-0.9987340971319529,0.003312870897122456,-17.3519233767409
bae,3141,157,231,9.167593596021287e-06,5.4961500777312655e-05,-1.7910037025142707,0.010698726336096746,-17.315316898833338
mighty,11445,100,203,5.839231589822477e-06,4.829950068309294e-05,-2.1128642214751814,0.014926402941673857,-17.29394240626393
can't i,4468,51,188,2.978008110809463e-06,4.4730572061189516e-05,-2.709443962635799,0.024927283779810714,-17.161004070769792
beautiful woman,3647,15,339,8.758847384733714e-07,8.065778685501727e-05,-4.52281467296919,0.06961674160300002,-17.1416232738297
the avenger,16342,74,189,4.321031376468632e-06,4.496850063598308e-05,-2.3425085080202095,0.01880481253928775,-17.082312902605345
so pretty,15229,23,235,1.3430232656591696e-06,5.59132150764869e-05,-3.7289314345909617,0.04773385326695616,-17.067548710715602
titty,17389,159,227,9.284378227817738e-06,5.400978647813841e-05,-1.7608765470721561,0.01069488978685174,-17.027102580257157
classy,4792,295,292,1.7225733189976304e-05,6.947514383971989e-05,-1.394616737645256,0.006814783742052096,-16.893857781329086
vegan nugget,18077,83,188,4.846562219552656e-06,4.4730572061189516e-05,-2.2224271936175786,0.01736763583512443,-16.863867851424153
<pronoun> fine,1195,75,185,4.3794236923668575e-06,4.401678633680884e-05,-2.3076932923053057,0.018739032546959106,-16.85794004559963
hollywood,8735,540,401,3.153185058504137e-05,9.540935849221807e-05,-1.1072422367117696,0.004345913357587698,-16.795854822523665
space jam,15412,16,291,9.342770543715962e-07,6.923721526492633e-05,-4.305588039191107,0.06593666605810862,-16.767525745762995
eat <pronoun>,6066,262,271,1.5298786765334886e-05,6.44786437690551e-05,-1.4386095348528727,0.0075071264262381995,-16.603745559224606
