season,episode,overall,guest,female_flag,notes,result,url_status,video_id,video_url,video_title,channel_title,done,name_filter,n_comments,mean,variance,positive_ratio,mean_nozero,variance_nozero,mean_1000,variance_1000,positive_ratio_1000,mean_nozero_1000,variance_nozero_1000,mean_toxicity,mean_severe_toxicity,var_toxicity,var_severe_toxicity,mean_toxicity_1000,mean_severe_toxicity_1000,var_toxicity_1000,var_severe_toxicity_1000
2,39,47,N.O.R.E.,0,,1,verified,poi9dSiT5D4,https://www.youtube.com/watch?v=poi9dSiT5D4,N.O.R.E. Gets Wasted While Eating Spicy Wings | Hot Ones,First We Feast,1,"nore, n.o.r.e",4531,0.256606378,0.199450976,3.418699187,0.356542012,0.241496124,0.2988282,0.182323872,4.511627907,0.420292827,0.205382301,0.296149012,0.203850755,0.086744752,0.057974439,0.270520771,0.18318658,0.079256493,0.050217553
2,40,48,James Franco and Bryan Cranston,0,,1,verified,BB1B-VrPij0,https://www.youtube.com/watch?v=BB1B-VrPij0,James Franco and Bryan Cranston Bond Over Spicy Wings | Hot Ones,First We Feast,1,"james, franco, bryan, cranston, brian, james franco, bryan cranston, brian cranston",5083,0.109117706,0.1860631,1.754637437,0.169772054,0.279191027,0.1623913,0.190062704,2.261083744,0.245304079,0.266764939,0.28765785,0.187362622,0.081740359,0.053389794,0.278905116,0.18462599,0.084838087,0.054728424
3,1,49,Padma Lakshmi,1,,1,verified,p-P5-7eV9GE,https://www.youtube.com/watch?v=p-P5-7eV9GE,Padma Lakshmi Gracefully Destroys Spicy Wings | Hot Ones,First We Feast,1,"padma, lakshmi",4350,0.194805264,0.203450206,2.564792176,0.290604561,0.275661109,0.1966836,0.213006558,2.544041451,0.287549123,0.285284796,0.306840802,0.203669069,0.080249714,0.052338182,0.29096971,0.191293572,0.079410521,0.049253848
3,2,50,Joey CoCo Diaz,0,,1,verified,e226MZIXJ5E,https://www.youtube.com/watch?v=e226MZIXJ5E,Joey &quot;CoCo&quot; Diaz Breaks Out the Blue Cheese While Eating Spicy Wings | Hot Ones,First We Feast,1,"joey, coco, diaz",8038,0.10687905,0.209293149,1.730191611,0.162954059,0.309962944,0.1263884,0.213678753,1.831896552,0.192371994,0.312540627,0.397449932,0.29064808,0.127540554,0.090384109,0.390549437,0.293041229,0.131894913,0.093267355
3,3,51,Danny Brown,0,,1,verified,ZgqZBbBCJL0,https://www.youtube.com/watch?v=ZgqZBbBCJL0,Danny Brown Has An Orgasm Eating Spicy Wings | Hot Ones,First We Feast,1,"danny, brown",3134,0.163994065,0.19817,2.277777778,0.241976177,0.273533567,0.1631341,0.191370746,2.350253807,0.247172879,0.269183568,0.339239254,0.235120535,0.099320832,0.067290497,0.338907003,0.235263351,0.100566494,0.068502114
3,4,52,Ricky Gervais,0,,0,verified,3qrNRzkwlbU,https://www.youtube.com/watch?v=3qrNRzkwlbU,Ricky Gervais Pits His Mild British Palate Against Spicy Wings | Hot Ones,First We Feast,1,"ricky, gervais",6728,0.121114566,0.215981186,1.823091248,0.179168602,0.309106328,0.1466808,0.198245009,2.112195122,0.22990721,0.291594502,0.32008866,0.212246506,0.091385199,0.060308616,0.303907739,0.203764203,0.092218269,0.05993973
3,5,53,Charlie Day,0,,1,verified,Lc4hUSLN_-M,https://www.youtube.com/watch?v=Lc4hUSLN_-M,Charlie Day Learns to Love Ridiculously Spicy Wings | Hot Ones,First We Feast,1,"charlie, day",4830,0.144354182,0.183924832,2.1663286,0.223328219,0.266910255,0.1368021,0.186483709,2.028985507,0.218185167,0.279665605,0.277820886,0.18066177,0.081075824,0.051264147,0.281135991,0.183935894,0.083785476,0.051840747
3,6,54,Mac DeMarco,0,,1,verified,0-BQ_yTNyTs,https://www.youtube.com/watch?v=0-BQ_yTNyTs,Mac DeMarco Tries to Stay Chill While Eating Spicy Wings | Hot Ones,First We Feast,1,"mac, demarco",4716,0.169056043,0.164000243,2.664993726,0.272943615,0.236425497,0.1686688,0.161528788,2.716049383,0.280180731,0.237076752,0.274309777,0.176683544,0.073526679,0.044216121,0.278856839,0.183085814,0.079050099,0.047961703
3,7,55,Russell Brand,0,,1,verified,mHTR-XF6MXU,https://www.youtube.com/watch?v=mHTR-XF6MXU,Russell Brand Achieves Enlightenment While Eating Spicy Wings | Hot Ones,First We Feast,1,"russell, brand, russel",7893,0.236739635,0.203810911,3.26351866,0.333752983,0.254951928,0.2023918,0.199399574,2.654450262,0.289959599,0.260281619,0.267278658,0.172765939,0.082033668,0.050213418,0.267362317,0.173040725,0.084882973,0.052011019
3,8,56,Charlie Sloth,0,,1,verified,KzG1jM1XFsw,https://www.youtube.com/watch?v=KzG1jM1XFsw,Charlie Sloth Makes His Mum Proud Eating Spicy Wings | Hot Ones,First We Feast,1,"charlie, sloth",1850,0.11661173,0.167637986,2.066091954,0.202185286,0.273354587,0.1281602,0.171257165,2.210810811,0.215757912,0.269411826,0.290600125,0.19522273,0.072641874,0.049017231,0.291009614,0.195460158,0.075302941,0.049878721
